,text,label,wordCount
0,subject to the terms of the agreement name grants customer and its affiliates a nonexclusive nontransferable except to a successor in interest as permitted hereunder license to use the listed on the order form during the term customer s right to use the is limited to the volume and other restrictions contained herein and in the order form and the documentation,51,61
1,as between the parties customer is responsible for i all activities conducted under user logins ii obtaining and maintaining any customer equipment and any ancillary services needed to connect to access or otherwise use the p1_pros and iii ensuring that the customer equipment and any ancillary services are compatible with the p1_pros and comply with all requirements set forth in the documentation customer represents and warrants that customer will use the p1_pros in accordance with the license in section 2 in compliance with applicable law and shall not a resell sublicense lease timeshare or otherwise make the p1_pros available to any third party b send or store infringing or unlawful material using the p1_pros c attempt to gain unauthorized access to or disrupt the integrity or performance of the p1_pros or the data contained therein d modify copy or create derivative works based on the p1_pros e reverse engineer the p1_pros f propagate any virus worms trojan horses or other programming routine intended to damage any system or data g access the p1_pros for the purpose of building a competitive product or service or copying its features or user interface h use the p1_pros or permit it to be used for purposes of product evaluation benchmarking or other comparative analysis intended for publication without p1_name s prior written consent or i permit access to the p1_pros by a direct competitor of p1_name in the event customer has a nonproduction license to the p1_pros customer shall only use such p1_pros for nonprodutction purposes any failure of customer to comply with the obligations set forth in this section 3 shall be deemed a material breach of this agreement,31,276
2,p1_name provides professional services as described in this section 4 professional services will be as identified on an order form p1_name s professional services p1_pro p1_pro2 p1_pro3 and standard training courses are also described in the applicable documentation specification sheet found at p1_hyp the following professional services are bought as prepaid package and are not offered on a time and materials basis p1_pro is a series of activities and facilitated sessions with p1_name to build the foundation for customer s api s and may include the following segments accelerator planning scoping architecture and design operations and support and delivery infrastructure p1_pro2 purchased in bulk amounts are generally used for installation of the p1_pros in customer s facilities as well as configuration and testing addressing developer portal security security integration branding site integration taxonomy key management architectural services addressing testing addressing api security eg oauth transformation traffic management logging apidn pci and other configuration activities including but not limited to and analytics services metrics definition configuration development and testing addressing custom reports p1_pro3 purchased in bulk amounts are provided by p1_name s strategy team and are generally used for executive strategy workshops and governance andor ecosystem strategies as well as other strategic initiatives p1_name also offers standard training courses which are provided as described in the documentation p1_name may in limited circumstances agree to provide professional services andor training services other than those listed above in a mutually executed statement of work an sow generated by p1_name that specifically incorporates this agreement by reference section 51 defines the intellectual property rights related to professional services and section includes the warranty obligations for such professional services,53,274
3,as between customer and p1_name customer shall retain all ownership rights in the customer data as defined in section 13 and customer confidential information including that customer data and customer confidential information which is included in any services materials andor training materials except as otherwise expressly identified in a mutually executed statement of work as between customer and p1_name p1_name shall have and retain all ownership rights in the p1_pros training materials and all work developed or created by p1_name during the course of providing professional services or training services to customer if any p1_name hereby grants customer a royaltyfree fully paidup nonexclusive license to use all work developed or created by p1_name that is provided to customer as a result of providing professional services and or or training services including any such service materials andor training materials to customer on the same terms and conditions as the p1_pros in addition to the foregoing in the event p1_name assists customer in defining policies for its apis policy definitions and then configures the p1_pros with the policy definitions p1_name hereby grants customer a royaltyfree fully paidup nonexclusive perpetual irrevocable worldwide transferable to the extent set forth in section 1 license to use copy and distribute the policy definitions solely for its internal business purposes p1_name shall own any suggestions enhancement requests recommendations or other feedback provided by customer or users relating to the p1_pros no license right or interest in any p1_name or customer trademark trade name or service mark is granted hereunder,18,252
4,the fees for the p1_pros support professional services and training services are as stated in an order form and are effective during the initial term unless otherwise stated in the order form fees for the initial term are due and payable upon the initial invoice date any additional fees that are subject to calculation in arrears will be invoiced at the end of the month that they were accrued for eg api call overages fees for any extension terms are due in accordance with the above except that they are due on the effective date of the renewal period all fees will be paid in accordance with the following instructions set forth in the order form upon execution of this agreement payment obligations are noncancelable and except as expressly provided in this agreement upon payment all payments made by customer are nonrefundable all fees due hereunder shall be due and payable within thirty 30 days of receipt of invoice except any fees that customer disputes in good faith within such 30day period with reasonable information supporting such dispute any payment not received from customer by the due date may accrue late charges at the rate of 15 percent of the outstanding balance per month except for amounts then under reasonable and good faith dispute or the maximum rate permitted by law whichever is lower from the date such payment was due until the date paid failure to make payments in accordance with this section may result in suspension of customers ability to access the p1_pros until payment is made p1_name s fees do not include any taxes customer is responsible for paying all taxes including but not limited to sales use gst and vat taxes associated with its purchases hereunder excluding taxes based on p1_name s net income or property unless expressly stated to the contrary all prices are quoted exclusive of taxes which are payable by the customer in addition if p1_name includes on the invoice such taxes for which customer is responsible the tax amount invoiced shall be paid by customer unless customer provides a valid tax exemption certificate authorized by the appropriate taxing authority upon execution of this agreement taxes not included on an p1_name invoice shall be the responsibility of the customer to remit to the appropriate tax authorities as necessary customer shall reimburse p1_name for all reasonable preapproved and appropriately documented travel and related expenses incurred by p1_name in performance of the professional services or training services customer shall be responsible for its own travel and outof pocket expenses associated with attending any training services at an p1_name facility,46,434
5,p1_name shall provide technical support provided customer is current on payment of support fees and all other fees on the order form such support shall be provided in accordance with the material terms and conditions described in p1_name s technical support policy a copy of which may be found at p1_hyp3 support,10,52
6,each party represents and warrants that i it has the legal power to enter into and perform under this agreement and ii it shall comply with all laws applicable to its performance hereunder in the case of p1_name or applicable to its use of the p1_pros in the case of customer p1_name warrants i it will provide the professional services in a professional and workmanlike manner consistent with good industry practices and ii that for a period of thirty 30 days after completion the professional services will materially conform to their description on the order form and the professional services documentation or for any additional professional services in a mutually executed statement of work as customer s sole and exclusive remedy and p1_name s entire liability for any breach of the foregoing warranty p1_name will reperform the professional services or if p1_name is unable to do so refund the fees paid to p1_name for such deficient professional services warranties specific to each p1_name product shall be as set forth in exhibit b1 except as expressly provided herein neither party makes any warranties of any kind whether implied statutory or otherwise including any warranties of merchantability noninfringement or fitness for a particular purpose p1_name does not warrant that the operation of the p1_n ame products and results of the professional services will be uninterrupted or errorfree,15,225
7,p1_name shall at its own expense i defend customer from and against any and all allegations threats claims demands suits or proceedings claim s made or brought against customer by an unaffiliated third party alleging that the use of the p1_pros as contemplated hereunder infringes any us patent or worldwide copyright trademark or tradesecret and ii hold customer harmless from and against any liability damages and costs whether finally awarded or agreed to by p1_name in settlement collectively losses to the extent based upon such a claim the obligations in this section 9 indemnity obligations p1_name may at its sole option and expense i procure for customer the right to continue using the p1_pros under the terms of this agreement ii replace or modify the p1_pros to be noninfringing without material decrease in functionality or iii if the foregoing options are not reasonably practicable terminate the license for the infringing p1_pros and refund customer the prepaid fees for the remainder of the then current term after the date of such termination excluded from p1_name s indemnity o bligations in this section are claims arising out of i the use of the p1_pros other than in accordance with this agreement ii any modification or alteration of the p1_pros by a party other than p1_name iii p1_name s compliance with any materials designs specifications or instructions provided by customer iv any combination of the p1_pros with any product software service or device not furnished by p1_name where such claim would not cover the p1_name product alone i v use of any older version of the p1_pros when use of a newer version provided by p1_name would have avoided the infringement provided that p1_name had previously given customer written notice of the newer version or v customer using the p1_pros after p1_name has notified the customer to discontinue use due to an infringement claim in the event of a potential i ndemnity o bligation under this agreement the indemnified party shall i promptly notify the indemnifying party in writing of such claim ii allow the indemnifying party to have sole control of its defense and settlement and iii upon request of the indemnifying party cooperate in all reasonable respects at the indemnifying party s cost and expense with the indemnifying party in the investigation trial and defense of such claim and any appeal arising therefrom the i ndemnification o bligations under this section are expressly conditioned upon the indemnified party s compliance with this section except that failure to notify the indemnifying party of such claim shall not relieve that party of its obligations under this section 8 but such claim shall be reduced to the extent of any damages attributable to such failure the provisions of this section set forth each party s sole and exclusive remedy and obligation with respect to infringement or misappropriation of third party intellectual property rights of any kind,34,482
8,as used herein confidential information means all proprietary information of a party disclosing party disclosed to the other party receiving party whether orally or in writing that is maintained as confidential by the disclosing party and is either designated as confidential or reasonably should be understood to be confidential given the nature of the information and the circumstances of disclosure confidential information may include business and marketing plans technology and technical information product designs and business processes p1_name confidential information will include p1_pros documentation and business terms including the terms and conditions of this agreement and the pricing and other terms reflected on the order form confidential information shall not include any information that i is or becomes generally known to the public without breach of any obligation owed to disclosing party ii was known to receiving party prior to its disclosure by disclosing party without breach of any obligation owed to disclosing party iii was independently developed by receiving party without breach of any obligation owed to disclosing party or iv is received from a third party without breach of any obligation owed to disclosing party receiving party agrees that it shall not disclose any confidential information of disclosing party for any purpose not in accordance with this agreement except with disclosing party s prior written consent or to comply with securities and other applicable laws p1_name will use commercially reasonable efforts to maintain the confidentiality of customer data in accordance with all applicable laws and except as required by applicable law to not disclose customer data to any third party for any purpose other than to provide the p1_pros or professional services to customer each party represents and warrants that it will collect maintain and handle all personal data in compliance with all applicable data privacy and protection laws receiving party shall promptly notify disclosing party if it becomes aware of any actual or reasonably suspected breach of confidentiality of disclosing partys confidential information if receiving party is compelled by law to disclose confidential information of disclosing party it shall provide disclosing party with prior notice of such compelled disclosure to the extent legally permitted and reasonable assistance at disclosing partys cost if disclosing party wishes to contest the disclosure upon any termination of this agreement the receiving party shall continue to maintain the confidentiality of the disclosing partys confidential information for a period of three 3 years after termination and upon request shall return to the disclosing party or destroy all materials containing such confidential information,19,419
9,except for i the parties indemnification obligations ii for customer s failure to pay any fees due under this agreement iii either party s breach of se ction 10 confidentiality iv in relation to death or personal injury arising from negligence or v fraudulent misrepresentation in no event shall either partys aggregate liability arising out of this agreement whether in contract tort or under any other theory of liability exceed the subscription fees paid to p1_ name during the twelve months prior to when the claim accrued the foregoing notwithstanding in no event shall either party s maximum aggregate liability arising out of a the parties indemnification obligations or b either party s breach of section 10 confidentiality exceed five 5 times the subscription fees paid to p1_name during the twelve months prior to when the claim accrued in no event shall either party have any liability to the other for any lost profits or for any indirect special incidental punitive or consequential damages however caused and whether in contract tort or under any other theory of liability whether or not the party has been advised of the possibility of such damages,57,192
10,this agreement commences on the effective date and continues until all licenses granted in accordance with this agreement and the applicable exhibit s have expired or have been terminated the initial term applicable to each exhibit commences upon customer s execution of such exhibit and unless mutually agreed in writing by the parties shall expire at the end of the then current term a party may terminate this agreement for cause i upon 30 days written notice to the other party of a material breach of this agreement if such breach remains uncured at the expiration of such period ii immediately upon written notice if the other party becomes the subject of a bankruptcy insolvency receivership liquidation assignment for the benefit of creditors or similar proceeding and iii as otherwise provided herein either party may terminate the general terms immediately by written notice if no exhibit is in effect the parties rights and obligations under sections 5 6 84 9 104 11 124 and 13 shall survive termination of this agreement,11,171
11,the parties are independent contractors and no partnership franchise joint venture agency fiduciary or employment relationship between the parties is created hereby there are no third party beneficiaries to this agreement and the provisions of the uk contracts rights of third parties act 1999 are hereby excluded,14,47
12,notices shall be in writing sent using a recognized private mail carrier or the united states postal service or royal mail or the national mail carrier of the country in which the sender is situated and effective on proof of delivery,9,41
13,each party may include the others name in its customer or vendor lists with the other parties written permission,38,19
14,no amendment or waiver of any provision of this agreement shall be effective unless in writing and signed by customer and p1_name to the extent of any conflict between this agreement and any other schedule or attachment this agreement shall prevail unless expressly stated otherwise notwithstanding any language to the contrary therein no terms stated in a purchase order or in any other order document other than a statement of work or other mutually executed order document expressly incorporated herein shall be incorporated into this agreement and all such terms shall be void this agreement which includes all exhibits documents referenced herein statements of work and attachments hereto represents the entire agreement of the parties and supersedes all prior or contemporaneous agreements proposals or representations written or oral concerning its subject matter,32,132
15,no failure or delay in exercising any right hereunder shall constitute a waiver of such right except as otherwise provided herein remedies provided herein are in addition to and not exclusive of any other remedies of a party at law or in equity if any provision of this agreement is held by a court of competent jurisdiction to be contrary to law such provision shall be modified by the court and interpreted so as best to accomplish the objectives of the original provision to the fullest extent permitted by law and the remaining provisions shall remain in effect,24,98
16,neither party shall be liable to the other for any delay or failure to perform hereunder excluding payment obligations due to a natural disaster actions or decrees of governmental bodies or communications line failure which i hinders delays or prevents a party in performing any of its obligations and ii is beyond the control of and without the fault or negligence of such party and iii by the exercise of reasonable diligence such party is unable to prevent or provide against force majeure event,25,84
17,neither party may assign any of its rights or obligations hereunder whether by operation of law or otherwise without the prior written consent of the other not to be unreasonably withheld notwithstanding the foregoing either party may assign this agreement in its entirety without consent of the other party to its successor in interest in connection with a merger reorganization or sale of all or substantially all assets or equity not involving a direct competitor of the other party any attempted assignment in breach of this section shall be void this agreement shall bind and inure to the benefit of the parties their respective successors and permitted assigns,7,108
